ホテル・旅館名,住所・エリア名,最低価格,レビュー評価,詳細リンク
三井ガーデンホテル京橋,三井ガーデンホテル京橋,"2名税込25,188円〜",東京駅より徒歩5分。日本の古きよき佇まいを残す日本橋、銀座エリアにもほど近い「三井ガーデンホテル京橋」は、訪れる人々を空港へ、観光地へ、オフィス、ショッピング街へと結ぶ、新しい旅の拠点。「京橋モダン」をコンセプトに、江戸の粋と遊び心を取り入れたデザイン空間でお迎えいたします。,https://www.ikyu.com/00081155/?discsort=1&lc=1&ppc=2&rc=1&st=1
Auberge TOKITO,東京都・立川市,"夕朝食付2名税込331,500円〜",評価なし,https://www.ikyu.com/00003160/?discsort=1&lc=1&ppc=2&rc=1&st=1
アスコット丸の内東京,東京都・東京駅まで徒歩10分,"2名税込69,546円〜",「アスコット丸の内東京」は、大手町駅直結・東京駅から徒歩10分の皇居を望む抜群のロケーションに位置し、1泊からのホテルライクなご滞在でも、1か月以上の長期滞在でも快適にお過ごし頂ける、ラグジュアリーなサービスアパートメントです。スタジオタイプから3ベッドルームまでの全130室の客室は、食器、調理器具、IHクッキングヒーター、電子レンジ、オーブン、冷蔵庫、洗濯乾燥機（一部の部屋を除く）を完備し、様々な目的や滞在スタイルに対応するお部屋をご用意しております。ご家族やお友達との集まりや、大切な方との特別な時間を心に刻んでいただくために、また、出張や長期赴任時にはビジネスの疲れを癒やす拠点として、ご自宅のようにリラックスしていただける、快適で上質なプライベート空間をご提供いたします。レストラン、ラウンジ、フィットネスジム、エクササイズプール、ガーデンテラス、会議室などの共用施設も充実しておりますので、お好みや目的に合った寛ぎのご滞在をお楽しみください。,https://www.ikyu.com/00002442/?discsort=1&lc=1&ppc=2&rc=1&st=1
THE AOYAMA GRAND HOTEL,東京都・外苑前,"2名税込68,600円〜",評価なし,https://www.ikyu.com/00002783/?discsort=1&lc=1&ppc=2&rc=1&st=1
プレミアホテル-CABIN PRESIDENT-東京,プレミアホテル-CABIN PRESIDENT-東京,"2名税込13,680円〜",評価なし,https://www.ikyu.com/00082565/?discsort=1&lc=1&ppc=2&rc=1&st=1
レム日比谷,レム日比谷,"2名税込15,390円〜",評価なし,https://www.ikyu.com/00080062/?discsort=1&lc=1&ppc=2&rc=1&st=1
新宿プリンスホテル,東京都・新宿駅から徒歩約5分・西武新宿駅直結,"2名税込21,814円〜",評価なし,https://www.ikyu.com/00001295/?discsort=1&lc=1&ppc=2&rc=1&st=1
パーク ハイアット 東京,東京都・西新宿,"2名税込136,990円〜",評価なし,https://www.ikyu.com/00000588/?discsort=1&lc=1&ppc=2&rc=1&st=1
シェラトン都ホテル東京,東京都・白金台,ポイント2%（652円分）獲得,評価なし,https://www.ikyu.com/00000209/?discsort=1&lc=1&ppc=2&rc=1&st=1
sequence SUIDOBASHI,sequence SUIDOBASHI,"2名税込11,460円〜",JR水道橋駅徒歩1分、都営三田線水道橋駅徒歩6分と、交通の利便性に大変優れています。東京ドームシティ至近という好立地で、スポーツ観戦やコンサート、遊園地等のレジャーはもちろん、ビジネスの滞在拠点としてもご利用いただけます。また、神田川に面したオープンテラスとパブリックビューイングスクリーンなど、感動・興奮・喜びの「MOMENT(瞬間)」を共有するスペースを多数兼ね備えたゲスト同士のコミュニケーションの場を設えました。水道橋エリアで堪能したエンターテインメントの余韻をそのままにお楽しみいただける空間を提供します。,https://www.ikyu.com/00082129/?discsort=1&lc=1&ppc=2&rc=1&st=1
